kod_je,county
0401,aleksandrowski
2001,augustowski
2801,bartoszycki
2401,będziński
1001,bełchatowski
0661,Biała Podlaska
1401,białobrzeski
3201,białogardzki
2002,białostocki
0601,bialski
2061,Białystok
2003,bielski (podlaski)
2402,bielski (śląski)
2461,Bielsko-Biała
2414,bieruńsko-lędziński
1801,bieszczadzki
0602,biłgorajski
1201,bocheński
0201,bolesławiecki
2802,braniewski
0402,brodnicki
1202,brzeski (małopolski)
1601,brzeski (opolski)
1021,brzeziński
1802,brzozowski
2601,buski
0403,bydgoski
0461,Bydgoszcz
2462,Bytom
2201,bytowski
0662,Chełm
0404,chełmiński
0603,chełmski
3001,chodzieski
2202,chojnicki
2463,Chorzów
3202,choszczeński
1203,chrzanowski
1402,ciechanowski
2403,cieszyński
3002,czarnkowsko-trzcianecki
2464,Częstochowa
2404,częstochowski
2203,człuchowski
2465,Dąbrowa Górnicza
1204,dąbrowski
1803,dębicki
3203,drawski
2803,działdowski
0202,dzierżoniowski
2861,Elbląg
2804,elbląski
2805,ełcki
1403,garwoliński
2261,Gdańsk
2204,gdański
2262,Gdynia
2806,giżycki
2466,Gliwice
2405,gliwicki
0203,głogowski
1602,głubczycki
3003,gnieźnieński
2818,gołdapski
3204,goleniowski
0405,golubsko-dobrzyński
1205,gorlicki
0204,górowski
0861,Gorzów Wielkopolski
0801,gorzowski
1404,gostyniński
3004,gostyński
2004,grajewski
1405,grodziski (mazowiecki)
3005,grodziski (wielkopolski)
1406,grójecki
0462,Grudziądz
0406,grudziądzki
3205,gryficki
3206,gryfiński
2005,hajnowski
0604,hrubieszowski
2807,iławski
0407,inowrocławski
0605,janowski
3006,jarociński
1804,jarosławski
1805,jasielski
2467,Jastrzębie-Zdrój
0205,jaworski
2468,Jaworzno
2602,jędrzejowski
0261,Jelenia Góra
0206,jeleniogórski
3007,kaliski
3061,Kalisz
0207,kamiennogórski
3207,kamieński
2205,kartuski
2469,Katowice
2603,kazimierski
1603,kędzierzyńsko-kozielski
3008,kępiński
2808,kętrzyński
2661,Kielce
2604,kielecki
2406,kłobucki
0208,kłodzki
1604,kluczborski
1806,kolbuszowski
2006,kolneński
3208,kołobrzeski
3009,kolski
2605,konecki
3062,Konin
3010,koniński
3011,kościański
2206,kościerski
3261,Koszalin
3209,koszaliński
1407,kozienicki
1261,Kraków
1206,krakowski
1605,krapkowicki
0607,kraśnicki
0606,krasnostawski
0802,krośnieński (odrzański)
1807,krośnieński (podkarpacki)
1861,Krosno
3012,krotoszyński
1002,kutnowski
2207,kwidzyński
1810,łańcucki
1003,łaski
2208,lęborski
1004,łęczycki
0610,łęczyński
1408,legionowski
0262,Legnica
0209,legnicki
1821,leski
3013,leszczyński
3063,Leszno
1808,leżajski
2809,lidzbarski
1207,limanowski
0408,lipnowski
1409,lipski
3218,łobeski
1061,Łódź
1006,łódzki wschodni
2062,Łomża
2007,łomżyński
1410,łosicki
1005,łowicki
1809,lubaczowski
0210,lubański
0608,lubartowski
0609,lubelski
0211,lubiński
0663,Lublin
2407,lubliniecki
0611,łukowski
0212,lwówecki
1411,makowski
2209,malborski
1208,miechowski
3014,międzychodzki
0803,międzyrzecki
1811,mielecki
2408,mikołowski
0213,milicki
1412,miński
1413,mławski
0409,mogileński
2008,moniecki
2810,mrągowski
1209,myślenicki
3210,myśliborski
2470,Mysłowice
2409,myszkowski
0410,nakielski
1606,namysłowski
2811,nidzicki
1812,niżański
1414,nowodworski (gdański)
2210,nowodworski (mazowiecki)
2812,nowomiejski
1210,nowosądecki
0804,nowosolski
1211,nowotarski
3015,nowotomyski
1262,Nowy Sącz
1607,nyski
3016,obornicki
0215,oławski
2813,olecki
1608,oleski
0214,oleśnicki
1212,olkuski
2862,Olsztyn
2814,olsztyński
2606,opatowski
1007,opoczyński
1661,Opole
0612,opolski (lubelski)
1609,opolski (śląski)
2815,ostródzki
1415,ostrołęcki
1461,Ostrołęka
